method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
linear_autoregressive,0.37767569071515356,0.4891169393018583,0.7949274594290597,1.8818389201709402,1.020584865480342,0.6727662518184249,0.8327673298665359,0.32723374818157513,0.16723267013346405,0.6863817362356114,0.8377768636249372,,,,,,abilene,0.8,11
uncertainty_aware_lstm_robust_lp,0.6904644662021079,0.7958810218606668,0.7987312712820513,2.1299500538461538,1.0162853386324786,0.6717049120248321,0.8330056185859213,0.3282950879751679,0.16699438141407885,0.6954356650172121,0.8382788684321097,0.5539571046829224,1.0859557390213013,1.0513678612351498,0.7987312707692307,2.1299500615384614,abilene,0.8,11
current_demand_lp,0.3837256861735574,0.5349124663324025,0.8219180937562393,1.976369938662393,1.0616041772692308,0.6728443192039827,0.8367591717675087,0.3271556807960173,0.16324082823249128,0.687812560870011,0.8402971999319735,,,,,,abilene,0.8,11
robust_current_demand_lp,0.3837256861735574,0.5349124663324025,0.8219180939384615,2.060001733491453,1.0616041772692308,0.6693205916530081,0.8354294889035019,0.33067940834699205,0.1645705110964981,0.6917544570240598,0.8401565700801432,,,,0.8219180946153847,2.1917815846153847,abilene,0.8,11
moving_average,0.6423337131102531,0.7672000292490643,0.8377860545037948,2.0536776801282053,1.0883771402393163,0.6738598595428661,0.834712577311035,0.3261401404571339,0.16528742268896504,0.6891737002552522,0.8383175696168688,,,,,,abilene,0.8,11
lstm,0.8965149732152585,1.0071108668220174,0.951010289982906,2.082621696923076,1.243975871880342,0.682557894252841,0.8373757544281711,0.31744210574715914,0.1626242455718288,0.6903949568240482,0.8375424284882886,,,,,,abilene,1.0,7
linear_autoregressive,0.4380717462941258,0.5504125459438775,0.9963636072341882,2.515504344615384,1.3208777062222221,0.6828360775516578,0.83496248206198,0.3171639224483422,0.16503751793802002,0.6893152330768882,0.8352852997295085,,,,,,abilene,1.0,7
uncertainty_aware_lstm_robust_lp,0.8965149732152585,1.0071108668220174,0.9986774222564105,2.184337706282051,1.3057762772307693,0.681597453144484,0.837270522808073,0.31840254685551606,0.16272947719192699,0.6950242002043937,0.8384884785789688,0.6871951222419739,1.4424258470535278,1.0485146178492981,0.9986774223076923,2.663139807692308,abilene,1.0,7
robust_current_demand_lp,0.44339768262549983,0.606898227305894,1.0197000939350427,2.5730114559401707,1.346240424880342,0.6799264553817911,0.836273053323494,0.3200735446182089,0.16372694667650606,0.6876251524724033,0.8368437887579891,,,,1.0197000892307693,2.719200246153846,abilene,1.0,7
current_demand_lp,0.44339768262549983,0.606898227305894,1.0197000942564103,2.644904238119658,1.346240424880342,0.6821081631954236,0.8356608677022078,0.3178918368045765,0.16433913229779212,0.6889323656775527,0.8358375184848105,,,,,,abilene,1.0,7
moving_average,0.8298200069938146,0.9608977968479764,1.0387131353846155,2.6249533515811967,1.381344064034188,0.6830147002144127,0.8358334113569781,0.3169852997855873,0.1641665886430219,0.6893390308773724,0.8359507051428875,,,,,,abilene,1.0,7
lstm,0.8538807688842286,0.9700799517821724,0.952754123805128,2.540677656581197,1.2119552641811966,0.6770492558252836,0.8334105944331383,0.32295074417471636,0.16658940556686166,0.6908871401675238,0.8375548221666431,,,,,,abilene,1.0,11
linear_autoregressive,0.4487388290776791,0.5721091095790738,0.9933776906358974,2.5414453615384613,1.275010977059829,0.6751568443022278,0.8327638133294015,0.32484315569777217,0.16723618667059845,0.6893584051661119,0.8376656100485621,,,,,,abilene,1.0,11
uncertainty_aware_lstm_robust_lp,0.8538807688842286,0.9700799517821724,1.0010737066666664,2.669529882222222,1.2736194028290595,0.6717670538770275,0.8314782099663369,0.3282329461229725,0.1685217900336632,0.6904458935607021,0.8369202326270246,0.669678807258606,1.333343267440796,1.0495132227496375,1.0010737,2.6695299,abilene,1.0,11
robust_current_demand_lp,0.4391067647187867,0.6118360794536963,1.026765458711111,2.6277400845299144,1.3255718974410255,0.669235961156221,0.8301187279948603,0.3307640388437791,0.16988127200513964,0.6908492417766401,0.835258984351893,,,,1.0267654538461537,2.7380412230769227,abilene,1.0,11
current_demand_lp,0.4391067647187867,0.6118360794536963,1.0267654593880342,2.5717227874786324,1.3255718974410255,0.6740166055282312,0.8347448481727775,0.3259833944717689,0.16525515182722253,0.689273475870902,0.8385456568509256,,,,,,abilene,1.0,11
moving_average,0.7934479774792418,0.932521435337036,1.0462930038423932,2.593574928461538,1.3591391914102564,0.6737284792446462,0.8343339206747462,0.3262715207553538,0.16566607932525376,0.6885138704120112,0.8376659624913182,,,,,,abilene,1.0,11
lstm,1.0684292514670566,1.1913020096514533,1.1426412576410259,3.0470433516239313,1.4947285036923077,0.6833934914272388,0.8346868132639075,0.31660650857276107,0.16531318673609258,0.6889476796701975,0.8353848369371876,,,,,,abilene,1.2,7
linear_autoregressive,0.5099596231759371,0.6327304314095354,1.1949448461504273,2.9709696452564103,1.584058404068376,0.6829726547909734,0.8367059250746709,0.3170273452090266,0.16329407492532905,0.6894861476267804,0.8366802613376592,,,,,,abilene,1.2,7
