method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,seed,load_scale,ablation_family,ablation_variant,experiment_label,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config
linear_autoregressive,0.4076165663029421,0.5064338735251572,1.1099499676923077,1.6022180043333334,1.2870697734222225,0.7569576729161607,0.8238924918594809,0.2430423270838392,0.1761075081405191,0.763562980268254,0.8259432769159916,,,,,,nsfnet,13,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
moving_average,1.0144868547819077,1.1255592330810542,1.1801665028179489,1.7014524976153846,1.3035986924444445,0.7527855459033559,0.8235686718467838,0.2472144540966439,0.1764313281532161,0.7597924379494375,0.8264601863075178,,,,,,nsfnet,13,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
transformer,0.6228416261519218,0.7288956947059838,0.8845708860547009,2.057069103034188,1.159505491709402,0.6821600686683069,0.8364374218963049,0.3178399313316931,0.163562578103695,0.6899398040136873,0.837184087369169,,,,,,abilene,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
lstm,0.9279566830963965,1.0420578647100618,0.9064891377777776,1.9849251783333333,1.1856260977094015,0.6819110896258486,0.8372116971719941,0.3180889103741516,0.1627883028280059,0.6906182810905002,0.8373183920843174,,,,,,abilene,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4380717462941258,0.5504125459438775,0.9963636072341882,2.515504344615384,1.320877706222222,0.6828360775516578,0.83496248206198,0.3171639224483422,0.16503751793802,0.6893152330768882,0.8352852997295085,,,,,,abilene,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
moving_average,1.0464448115922858,1.1702570179045717,1.0581200784957263,2.733538704230769,1.393699669497436,0.682629766715203,0.8359071638999702,0.3173702332847969,0.1640928361000299,0.6892627886740748,0.836214983625417,,,,,,abilene,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
lstm,0.8819867278780898,1.001753768883526,0.9142494160888888,2.43799843982906,1.163973403162393,0.676127660137481,0.8331672218744767,0.323872339862519,0.1668327781255234,0.6909035955909781,0.8367293309366914,,,,,,abilene,11,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
transformer,0.5189309744852459,0.6246191466664903,0.9233282410017094,2.408750399059829,1.17924116651453,0.6750951242969557,0.8334884124313885,0.3249048757030443,0.1665115875686114,0.6917200643923646,0.8383181563523062,,,,,,abilene,11,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4487388290776791,0.5721091095790738,0.9933776906358974,2.5414453615384613,1.275010977059829,0.6751568443022278,0.8327638133294015,0.3248431556977721,0.1672361866705984,0.6893584051661119,0.8376656100485621,,,,,,abilene,11,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
moving_average,0.9913163802024928,1.124593490734152,1.0660891135524786,2.638235657905983,1.368406401042735,0.673126613139056,0.8347928766486498,0.3268733868609439,0.1652071233513502,0.6882826664112559,0.8380008970924547,,,,,,abilene,11,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
