ablation_family,ablation_variant,topology,load_scale,method,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_disrupted_fraction_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
transformer,tuned_b,nsfnet,1.0,moving_average,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,1.0479053582051296,1.1589099372182772,1.1693048692346497,0.035431205313895965,1.6490767845739887,0.2504875344311753,0.748688608548899,0.1745395399340357,0.8263311970355572,
transformer,tuned_b,nsfnet,1.0,transformer,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.6048033040887891,0.6978336726672594,0.9796274701131055,0.04142580800072234,1.3835212788535614,0.2509050570194868,0.7483406603976069,0.17472243616188496,0.8259607788939687,
transformer,tuned_c,abilene,1.0,linear_autoregressive,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.43883133640328936,0.5529492893129232,0.9851369197800571,0.016925288011459177,2.369110688846154,0.3178966324926496,0.687451217158409,0.1640819581192786,0.8375435941299211,
transformer,tuned_c,abilene,1.0,lstm,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.9345564991795228,1.0496515098917205,0.8926137901982907,0.005927157747867275,1.8768390862820512,0.3203442819278763,0.686135783529865,0.162380684307917,0.838803611853657,
transformer,tuned_c,abilene,1.0,moving_average,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.989536299371963,1.1194995800530105,1.0502628338974358,0.011528090463333565,2.4799346888888887,0.31871719369441115,0.6872526002302278,0.16305682513455344,0.8381640171043193,
transformer,tuned_c,abilene,1.0,transformer,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.922621638675929,1.0379712362007891,0.9085678279726496,0.00702011278102734,1.909012332820513,0.3203288873154923,0.6861297929873243,0.1623899238540229,0.8388344516036192,
transformer,tuned_c,nsfnet,1.0,linear_autoregressive,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.42899220170099966,0.5290219384663492,1.1105328008452993,0.021188145504957845,1.5635064727558408,0.2499850942128363,0.7493778537148984,0.17462437269696082,0.8263108813879317,
transformer,tuned_c,nsfnet,1.0,lstm,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.9489347368969421,1.0546658241964375,0.982561050998718,0.029142674184753675,1.3884269030598293,0.2528349526059038,0.7453479038315182,0.17484855234114252,0.8253609212690574,
transformer,tuned_c,nsfnet,1.0,moving_average,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.9980176522383929,1.1103787718639493,1.1650298837339033,0.03533968703856439,1.6429125834844729,0.2506585192563447,0.7484401725741749,0.17467135527248392,0.8262737354841402,
transformer,tuned_c,nsfnet,1.0,transformer,ml_only,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.9260031775660827,1.0307342525234822,1.013936785862678,0.04127076695089569,1.4333316000481482,0.25159743035953325,0.7476654149514581,0.17458312890258462,0.8260471421301047,
uncertainty,mult_0p1,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.1,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
uncertainty,mult_0p1,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.1,0.4476716715414672,0.6105427049547374,1.0175199641916242,0.010506593748811058,2.6278899255698005,0.3198160340135418,0.6889717757168486,0.16570858775147335,0.8355553906706253,2.7133865717948713
