method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
robust_current_demand_lp,0.5075245882782318,0.7432308414291279,0.4883969260200244,0.927954156276923,0.8385959754542125,0.7250154114093145,0.836195691480314,0.27498458859068553,0.16380430851968605,0.7619880827142222,0.8517005729753995,,,,0.4883969230769231,0.9279541569230769,sample,1.2,11
moving_average,1.1785246559540108,1.3807876440181157,0.5061626169802198,0.9617089686153846,0.8963380102319902,0.7247157446525262,0.8342929352626557,0.27528425534747375,0.16570706473734426,0.7722426615497346,0.8540329685150456,,,,,,sample,1.2,11
linear_autoregressive,0.6178640564582829,0.8106156352817049,0.5143247330373627,0.9772169900615384,0.917752296991453,0.7211904178923779,0.8298748842384129,0.278809582107622,0.17012511576158706,0.7695578453459146,0.846882459081982,,,,,,sample,1.2,11
lstm,0.7863507376390625,0.8887131697067556,0.704271924765812,1.64793551474359,0.9213792547581197,0.6818112842819317,0.8361452033387913,0.31818871571806834,0.16385479666120872,0.6901003486989361,0.8366443242624619,,,,,,abilene,0.8,7
transformer,0.5298731260170249,0.6285370356307115,0.7060022774529914,1.7267623147435898,0.9248406788290597,0.6813549999903035,0.8354880121426708,0.31864500000969653,0.16451198785732918,0.6895553170310076,0.8365930510619978,,,,,,abilene,0.8,7
uncertainty_aware_lstm_robust_lp,0.7863507376390625,0.8887131697067556,0.7368194343760683,1.6948435405982905,0.9635662705470085,0.6803924130820391,0.8375869054815374,0.31960758691796093,0.1624130945184626,0.6924569220882639,0.8379217783573524,0.457866907119751,1.2197248935699463,1.0438313698489092,0.7368194330769231,1.9648518230769232,abilene,0.8,7
linear_autoregressive,0.3699004561541906,0.4713041053547732,0.7977379703555556,1.997430224957265,1.0576430348401709,0.6825827815400645,0.8358667665408036,0.31741721845993565,0.16413323345919634,0.6893192488492232,0.8359873605653334,,,,,,abilene,0.8,7
robust_current_demand_lp,0.38373529734809453,0.5267396474419717,0.8160191209538462,2.1094670076837607,1.0775232957470087,0.6810217467818771,0.8346927632592749,0.31897825321812295,0.16530723674072506,0.6886383635008084,0.8350198971160181,,,,0.8160191153846154,2.176050984615385,abilene,0.8,7
current_demand_lp,0.38373529734809453,0.5267396474419717,0.8160191214393162,2.1094670076837607,1.0775232957470087,0.6817121493727012,0.8346949071233288,0.3182878506272988,0.16530509287667117,0.6887272410130432,0.8349052210582878,,,,,,abilene,0.8,7
moving_average,0.8443899428158168,0.9535685097166818,0.8470696857606838,2.122530134957265,1.1155454443247863,0.6823619175167376,0.8360107252247068,0.31763808248326253,0.16398927477529324,0.6894188765938961,0.8362725217551416,,,,,,abilene,0.8,7
lstm,0.6198156421334018,0.7280364259467955,0.7267424699435897,1.9027922917948716,0.9273399170041026,0.6750378684706255,0.8332516034273157,0.32496213152937437,0.1667483965726843,0.690191768839484,0.8371065627893084,,,,,,abilene,0.8,11
transformer,0.44250043678143036,0.5412686383627304,0.7317199003336753,1.8707922923931624,0.9369683544666666,0.6741575631990432,0.8325245715557437,0.32584243680095687,0.16747542844425628,0.6904888181832235,0.8368996379518451,,,,,,abilene,0.8,11
uncertainty_aware_lstm_robust_lp,0.6198156421334018,0.7280364259467955,0.7578353074529915,1.826616027094017,0.9670567618752136,0.6701319714998346,0.8345941591816111,0.3298680285001655,0.165405840818389,0.6885633996641859,0.8388267985932145,0.4133022725582123,1.0776219367980957,1.0403243355111216,0.7578353076923077,2.020894153846154,abilene,0.8,11
